No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes
1,SaaS (General),"saas, general",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,Trust blue + accent contrast
2,Micro SaaS,"micro, saas",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,Vibrant primary + white space
3,E-commerce,commerce,#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Brand primary + success green
4,E-commerce Luxury,"commerce, luxury",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,Premium colors + minimal accent
5,Service Landing Page,"service, landing, page",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Brand primary + trust colors
6,B2B Service,"b2b, service",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional blue + neutral grey
7,Financial Dashboard,"financial, dashboard",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Dark bg + red/green alerts + trust blue
8,Analytics Dashboard,"analytics, dashboard",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Cool→Hot gradients + neutral grey
9,Healthcare App,"healthcare, app",#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC,Calm blue + health green + trust
10,Educational App,"educational, app",#4F46E5,#818CF8,#F97316,#EEF2FF,#1E1B4B,#C7D2FE,Playful colors + clear hierarchy
11,Creative Agency,"creative, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Bold primaries + artistic freedom
12,Portfolio/Personal,"portfolio, personal",#18181B,#3F3F46,#2563EB,#FAFAFA,#09090B,#E4E4E7,Brand primary + artistic interpretation
13,Gaming,gaming,#7C3AED,#A78BFA,#F43F5E,#0F0F23,#E2E8F0,#4C1D95,Vibrant + neon + immersive colors
14,Government/Public Service,"government, public, service",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional blue + high contrast
15,Fintech/Crypto,"fintech, crypto",#F59E0B,#FBBF24,#8B5CF6,#0F172A,#F8FAFC,#334155,Dark tech colors + trust + vibrant accents
16,Social Media App,"social, media, app",#2563EB,#60A5FA,#F43F5E,#F8FAFC,#1E293B,#DBEAFE,Vibrant + engagement colors
17,Productivity Tool,"productivity, tool",#2563EB,#93C5FD,#10B981,#F8FAFC,#1E293B,#E2E8F0,Clear hierarchy + functional colors
18,Design System/Component Library,"design, system, component, library",#6366F1,#818CF8,#F97316,#F8FAFC,#1E1B4B,#E0E7FF,Indigo hierarchy + code-like structure
19,AI/Chatbot Platform,"chatbot, platform",#7C3AED,#A78BFA,#06B6D4,#FAF5FF,#1E1B4B,#DDD6FE,Neutral + AI Purple (#6366F1)
20,NFT/Web3 Platform,"nft, web3, platform",#FFD700,#FBBF24,#8B5CF6,#0F172A,#F8FAFC,#334155,Dark + Neon + Gold (#FFD700)
21,Creator Economy Platform,"creator, economy, platform",#E11D48,#FB7185,#7C3AED,#FFF1F2,#881337,#FFE4E6,Vibrant rose + Brand purple
22,Sustainability/ESG Platform,"sustainability, esg, platform",#228B22,#4ADE80,#06B6D4,#F0FDF4,#14532D,#BBF7D0,Green (#228B22) + Earth tones
23,Remote Work/Collaboration Tool,"remote, work, collaboration, tool",#0EA5E9,#7DD3FC,#F97316,#F0F9FF,#0C4A6E,#BAE6FD,Calm Sky Blue + Neutral grey
24,Mental Health App,"mental, health, app",#8B5CF6,#C4B5FD,#06B6D4,#FAF5FF,#4C1D95,#EDE9FE,Calm Lavender + Trust teal
25,Pet Tech App,"pet, tech, app",#EA580C,#FB923C,#16A34A,#FFF7ED,#7C2D12,#FED7AA,Playful Orange + Warm green
26,Smart Home/IoT Dashboard,"smart, home, iot, dashboard",#0F172A,#334155,#06B6D4,#0F172A,#F1F5F9,#1E293B,Dark + Status indicator colors
27,EV/Charging Ecosystem,"charging, ecosystem",#009CD1,#22D3EE,#16A34A,#ECFEFF,#155E75,#A5F3FC,Electric Blue (#009CD1) + Green
28,Subscription Box Service,"subscription, box, service",#DB2777,#F472B6,#F59E0B,#FDF2F8,#831843,#FBCFE8,Pink Brand + Excitement gold
29,Podcast Platform,"podcast, platform",#1E1B4B,#4338CA,#F97316,#0F172A,#E0E7FF,#312E81,Dark + Audio waveform accents
30,Dating App,"dating, app",#E11D48,#FB7185,#F59E0B,#FFF1F2,#881337,#FFE4E6,Warm + Romantic (Pink/Red gradients)
31,Micro-Credentials/Badges Platform,"micro, credentials, badges, platform",#1D4ED8,#60A5FA,#CA8A04,#EFF6FF,#1E3A8A,#BFDBFE,Trust Blue + Gold (#FFD700)
32,Knowledge Base/Documentation,"knowledge, base, documentation",#334155,#64748B,#2563EB,#F8FAFC,#0F172A,#E2E8F0,Clean hierarchy + minimal color
33,Hyperlocal Services,"hyperlocal, services",#059669,#34D399,#2563EB,#ECFDF5,#064E3B,#A7F3D0,Location Green + Trust blue
34,Beauty/Spa/Wellness Service,"beauty, spa, wellness, service",#10B981,#34D399,#8B5CF6,#ECFDF5,#064E3B,#A7F3D0,Soft pastels (Pink #FFB6C1 Sage #90EE90) + Cream + Gold accents
35,Luxury/Premium Brand,"luxury, premium, brand",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,Black + Gold (#FFD700) + White + Minimal accent
36,Restaurant/Food Service,"restaurant, food, service",#DC2626,#F87171,#CA8A04,#FEF2F2,#450A0A,#FECACA,Warm colors (Orange Red Brown) + appetizing imagery
37,Fitness/Gym App,"fitness, gym, app",#DC2626,#F87171,#16A34A,#FEF2F2,#1F2937,#FECACA,Energetic (Orange #FF6B35 Electric Blue) + Dark bg
38,Real Estate/Property,"real, estate, property",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,Trust Blue (#0077B6) + Gold accents + White
39,Travel/Tourism Agency,"travel, tourism, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Vibrant destination colors + Sky Blue + Warm accents
40,Hotel/Hospitality,"hotel, hospitality",#1E3A8A,#3B82F6,#CA8A04,#F8FAFC,#1E40AF,#BFDBFE,Warm neutrals + Gold (#D4AF37) + Brand accent
41,Wedding/Event Planning,"wedding, event, planning",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Soft Pink (#FFD6E0) + Gold + Cream + Sage
42,Legal Services,"legal, services",#1E3A8A,#1E40AF,#B45309,#F8FAFC,#0F172A,#CBD5E1,Navy Blue (#1E3A5F) + Gold + White
43,Insurance Platform,"insurance, platform",#0066CC,#3B9FE3,#059669,#F0F7FF,#003366,#D1E5F7,Trust Blue (#0066CC) + Green (security) + Neutral
44,Banking/Traditional Finance,"banking, traditional, finance",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,Navy (#0A1628) + Trust Blue + Gold accents
45,Online Course/E-learning,"online, course, learning",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Vibrant learning colors + Progress green
46,Non-profit/Charity,"non, profit, charity",#0891B2,#22D3EE,#F97316,#ECFEFF,#164E63,#A5F3FC,Cause-related colors + Trust + Warm
47,Music Streaming,"music, streaming",#1DB954,#1ED760,#E91E63,#121212,#F8FAFC,#282828,Dark (#121212) + Vibrant accents + Album art colors
48,Video Streaming/OTT,"video, streaming, ott",#E50914,#F87171,#FFD700,#141414,#F5F5F5,#333333,Dark bg + Content poster colors + Brand accent
49,Job Board/Recruitment,"job, board, recruitment",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral
50,Marketplace (P2P),"marketplace, p2p",#059669,#34D399,#F97316,#F0FDF4,#064E3B,#D1FAE5,Trust green + Category colors + Success green
51,Logistics/Delivery,"logistics, delivery",#2563EB,#60A5FA,#EA580C,#EFF6FF,#1E3A8A,#BFDBFE,Blue (#2563EB) + Orange (tracking) + Green (delivered)
52,Agriculture/Farm Tech,"agriculture, farm, tech",#4A7C23,#6EAA3E,#0EA5E9,#F7FDF4,#2D4A10,#D4EDBC,Earth Green (#4A7C23) + Brown + Sky Blue
53,Construction/Architecture,"construction, architecture",#4A4A4A,#737373,#EA580C,#F5F5F5,#1A1A1A,#D4D4D4,Grey (#4A4A4A) + Orange (safety) + Blueprint Blue
54,Automotive/Car Dealership,"automotive, car, dealership",#1E293B,#475569,#DC2626,#F8FAFC,#0F172A,#CBD5E1,Brand dark + Metallic accents + Red CTA
55,Photography Studio,"photography, studio",#171717,#404040,#E11D48,#FAFAFA,#0A0A0A,#E5E5E5,Black + White + Minimal rose accent
56,Coworking Space,"coworking, space",#D97706,#FBBF24,#7C3AED,#FFFBEB,#78350F,#FDE68A,Energetic amber + Wood tones + Purple accent
57,Cleaning Service,"cleaning, service",#00B4D8,#38BDF8,#059669,#ECFEFF,#0C4A6E,#BAE6FD,Fresh Blue (#00B4D8) + Clean White + Green
58,Home Services (Plumber/Electrician),"home, services, plumber, electrician",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Trust Blue + Safety Orange + Professional grey
59,Childcare/Daycare,"childcare, daycare",#F472B6,#FBCFE8,#8B5CF6,#FFF1F2,#831843,#FCE7F3,Playful pastels + Safe colors + Warm accents
60,Senior Care/Elderly,"senior, care, elderly",#1D4ED8,#93C5FD,#059669,#EFF6FF,#1E3A8A,#DBEAFE,Calm Blue + Warm neutrals + Large text
61,Medical Clinic,"medical, clinic",#0077B6,#48CAE4,#059669,#F0F9FF,#023E8A,#BAE6FD,Medical Blue (#0077B6) + Trust White + Calm Green
62,Pharmacy/Drug Store,"pharmacy, drug, store",#16A34A,#4ADE80,#0369A1,#F0FDF4,#14532D,#BBF7D0,Pharmacy Green + Trust Blue + Clean White
63,Dental Practice,"dental, practice",#0EA5E9,#7DD3FC,#EAB308,#F0F9FF,#0C4A6E,#BAE6FD,Fresh Blue + White + Smile Yellow accent
64,Veterinary Clinic,"veterinary, clinic",#0D9488,#5EEAD4,#D97706,#F0FDFA,#134E4A,#99F6E4,Caring Teal + Pet-friendly colors + Warm accents
65,Florist/Plant Shop,"florist, plant, shop",#16A34A,#86EFAC,#DB2777,#F0FDF4,#14532D,#BBF7D0,Natural Green + Floral pinks/purples + Earth tones
66,Bakery/Cafe,"bakery, cafe",#92400E,#D97706,#DC2626,#FFFBEB,#451A03,#FDE68A,Warm Brown + Cream + Appetizing accents
67,Coffee Shop,"coffee, shop",#6F4E37,#A0845C,#D97706,#FDF6EE,#3D2B1E,#E8D5C0,Coffee Brown (#6F4E37) + Cream + Warm accents
68,Brewery/Winery,"brewery, winery",#7F1D1D,#B91C1C,#CA8A04,#FEF2F2,#450A0A,#FECACA,Deep burgundy + Gold + Craft aesthetic
69,Airline,airline,#7C3AED,#A78BFA,#06B6D4,#FAF5FF,#1E1B4B,#DDD6FE,Sky Blue + Brand colors + Trust accents
70,News/Media Platform,"news, media, platform",#0F172A,#475569,#DC2626,#F8FAFC,#020617,#E2E8F0,High contrast dark + Red accent + Category colors
71,Magazine/Blog,"magazine, blog",#1E1B4B,#4338CA,#E11D48,#F8FAFC,#0F0C2E,#E0E7FF,Editorial indigo + Rose accent + Clean white
72,Freelancer Platform,"freelancer, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Success Green + Neutral
73,Consulting Firm,"consulting, firm",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Navy + Gold + Professional grey
74,Marketing Agency,"marketing, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Bold brand colors + Creative freedom
75,Event Management,"event, management",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Event theme colors + Excitement accents
76,Conference/Webinar Platform,"conference, webinar, platform",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional Blue + Video accent + Brand
77,Membership/Community,"membership, community",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Community brand colors + Engagement accents
78,Newsletter Platform,"newsletter, platform",#0369A1,#38BDF8,#F97316,#F0F9FF,#0C4A6E,#BAE6FD,Sky blue primary + Clean white + CTA accent
79,Digital Products/Downloads,"digital, products, downloads",#4F46E5,#818CF8,#10B981,#EEF2FF,#312E81,#C7D2FE,Indigo product + Brand purple + Success green
80,Church/Religious Organization,"church, religious, organization",#4338CA,#6366F1,#CA8A04,#EEF2FF,#312E81,#C7D2FE,Warm Gold + Deep Purple/Blue + White
81,Sports Team/Club,"sports, team, club",#DC2626,#F87171,#1D4ED8,#FEF2F2,#7F1D1D,#FECACA,Energetic Red + Team blue accents
82,Museum/Gallery,"museum, gallery",#1C1917,#57534E,#CA8A04,#FAFAF9,#0C0A09,#E7E5E4,Art-appropriate neutrals + Gold exhibition accents
83,Theater/Cinema,"theater, cinema",#1C1917,#44403C,#CA8A04,#0F0F0F,#FAFAF9,#292524,Dark + Spotlight accents + Gold
84,Language Learning App,"language, learning, app",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Playful colors + Progress indicators + Country flags
85,Coding Bootcamp,"coding, bootcamp",#22C55E,#4ADE80,#6366F1,#0F172A,#F1F5F9,#334155,Code editor green + Indigo accent + Dark bg
86,Cybersecurity Platform,"cybersecurity, security, cyber, hacker",#00FF41,#0D0D0D,#00FF41,#000000,#E0E0E0,#1F1F1F,Matrix Green + Deep Black + Terminal feel
87,Developer Tool / IDE,"developer, tool, ide, code, dev",#3B82F6,#1E293B,#2563EB,#0F172A,#F1F5F9,#334155,Dark syntax theme colors + Blue focus
88,Biotech / Life Sciences,"biotech, science, biology, medical",#0EA5E9,#0284C7,#10B981,#F8FAFC,#0F172A,#E2E8F0,Sterile White + DNA Blue + Life Green
89,Space Tech / Aerospace,"space, aerospace, tech, futuristic",#FFFFFF,#94A3B8,#3B82F6,#0B0B10,#F8FAFC,#1E293B,Deep Space Black + Star White + Metallic
90,Architecture / Interior,"architecture, interior, design, luxury",#171717,#404040,#D4AF37,#FFFFFF,#171717,#E5E5E5,Monochrome + Gold Accent + High Imagery
91,Quantum Computing,"quantum, qubit, tech",#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,#333344,Interference patterns + Neon + Deep Dark
92,Biohacking / Longevity,"bio, health, science",#FF4D4D,#4D94FF,#00E676,#F5F5F7,#1C1C1E,#E5E5EA,Biological red/blue + Clinical white
93,Autonomous Systems,"drone, robot, fleet",#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,#30363D,Terminal Green + Tactical Dark
94,Generative AI Art,"art, gen-ai, creative",#111111,#333333,#FFFFFF,#FAFAFA,#000000,#E5E5E5,Canvas Neutral + High Contrast
95,Spatial / Vision OS,"spatial, glass, vision",#FFFFFF,#E5E5E5,#007AFF,#888888,#000000,#FFFFFF,Glass opacity 20% + System Blue
96,Climate Tech,"climate, green, energy",#2E8B57,#87CEEB,#FFD700,#F0FFF4,#1A3320,#C6E6C6,Nature Green + Solar Yellow + Air Blue